"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"468",468,276,"276_42815","W2","Wetland","W2-2","3/21/2017","Spring 2017","W2_Spring 2017","W2-2",1.3,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",1
"469",469,277,"277_42815","P4","Pine","P4-2","3/21/2017","Spring 2017","P4_Spring 2017","P4-2",5.5,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P4","75","0.5",-0.816217851551863,-0.947937386985461,"P4_Spring ",7
"470",470,278,"278_42819","B2","Bottomland","B2-2","3/25/2017","Spring 2017","B2_Spring 2017","B2-2",6.4,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",1
"471",471,279,"279_42816","P3","Pine","P3-2","3/22/2017","Spring 2017","P3_Spring 2017","P3-2",5.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P3","75","0.5",-0.945917040512127,-0.777548236902218,"P3_Spring ",1
"472",472,280,"280_42819","P4","Pine","P4-2","3/25/2017","Spring 2017","P4_Spring 2017","P4-2",2.2,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P4","75","0.5",-0.816217851551863,-0.947937386985461,"P4_Spring ",1
"473",473,281,"281_42820","W2","Wetland","W2-2","3/26/2017","Spring 2017","W2_Spring 2017","W2-2",5.1,"Raccoon","Initial","F","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",3
"474",474,282,"282_42826","B1","Bottomland","B1-2","4/1/2017","Spring 2017","B1_Spring 2017","B1-2",2.3,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B1","75","0.5",-0.467244995759304,-0.34686986215249,"B1_Spring ",1
"476",476,284,"284_42826","W6","Wetland","W6-2","4/1/2017","Spring 2017","W6_Spring 2017","W6-2",4.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",1
"477",477,285,"285_42827","R5","Riparian","R5-2","4/2/2017","Spring 2017","R5_Spring 2017","R5-2",2.3,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","R5","75","0.5",-0.754757967376632,-0.648281065627218,"R5_Spring ",1
"481",481,4953,"4953_42834","P5","Pine","P5-2","4/9/2017","Spring 2017","P5_Spring 2017","P5-2",4.3,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P5","75","0.5",-0.94954574396804,-0.872940678245864,"P5_Spring ",2
"482",482,18,"18_43199","B3","Bottomland","B3-2","4/9/2018","Spring 2018","B3_Spring 2018","B3-2",4.4,"Raccoon","Initial","M",NA,1,"","",NA,"1",1,2018,"Rhodamine","Spring","B3","75","0.5",-0.123348297672518,0.253585545529095,"B3_Spring ",2
"483",483,25,"25_43199","W2","Wetland","W2-2","4/9/2018","Spring 2018","W2_Spring 2018","W2-2",5.5,"Raccoon","Initial","M",NA,0,"","",NA,"0",0,2018,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",4
"484",484,33,"33_43214","P5","Pine","P5-2","4/24/2018","Spring 2018","P5_Spring 2018","P5-2",3.4,"Raccoon","Initial","F",NA,0,"","",NA,"0",0,2018,"Rhodamine","Spring","P5","75","0.5",-0.94954574396804,-0.872940678245864,"P5_Spring ",3
"485",485,34,"34_43220","P5","Pine","P5-2","4/30/2018","Spring 2018","P5_Spring 2018","P5-2",3.2,"Raccoon","Initial","F",NA,0,"","",NA,"0",0,2018,"Rhodamine","Spring","P5","75","0.5",-0.94954574396804,-0.872940678245864,"P5_Spring ",3
"486",486,39,"39_43193","B2","Bottomland","B2-2","4/3/2018","Spring 2018","B2_Spring 2018","B2-2",3.4,"Raccoon","Initial","M",NA,0,"","",NA,"0",0,2018,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",2
"487",487,40,"40_43219","W5","Wetland","W5-2","4/29/2018","Spring 2018","W5_Spring 2018","W5-2",4.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2018,"Rhodamine","Spring","W5","75","0.5",-0.412348253919155,-0.907814010153179,"W5_Spring ",2
"488",488,42,"42_43217","W6","Wetland","W6-2","4/27/2018","Spring 2018","W6_Spring 2018","W6-2",5.3,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",2
"489",489,43,"43_43174","B4","Bottomland","B4-2","3/15/2018","Spring 2018","B4_Spring 2018","B4-2",3.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2018,"Rhodamine","Spring","B4","75","0.5",0.836724788118357,-0.10640290542107,"B4_Spring ",2
"490",490,44,"44_43174","B4","Bottomland","B4-2","3/15/2018","Spring 2018","B4_Spring 2018","B4-2",2.4,"Raccoon","Recapture","F","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","B4","75","0.5",0.836724788118357,-0.10640290542107,"B4_Spring ",1
"491",491,45,"45_43174","P1","Pine","P1-2","3/15/2018","Spring 2018","P1_Spring 2018","P1-2",4.3,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","P1","75","0.5",-0.736793675994594,-0.748422461350749,"P1_Spring ",1
"493",493,47,"47_43175","B4","Bottomland","B4-2","3/16/2018","Spring 2018","B4_Spring 2018","B4-2",1.2,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","B4","75","0.5",0.836724788118357,-0.10640290542107,"B4_Spring ",2
"495",495,49,"49_43179","R2","Riparian","R2-2","3/20/2018","Spring 2018","R2_Spring 2018","R2-2",3.2,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","R2","75","0.5",0.0410747090855862,0.19997982050451,"R2_Spring ",1
"496",496,50,"50_43180","B4","Bottomland","B4-2","3/21/2018","Spring 2018","B4_Spring 2018","B4-2",3.1,"Raccoon","Initial","F","Juvenile",0,"","",NA,"0",0,2018,"Rhodamine","Spring","B4","75","0.5",0.836724788118357,-0.10640290542107,"B4_Spring ",1
"497",497,51,"51_43180","P1","Pine","P1-2","3/21/2018","Spring 2018","P1_Spring 2018","P1-2",5.2,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2018,"Rhodamine","Spring","P1","75","0.5",-0.736793675994594,-0.748422461350749,"P1_Spring ",1
